latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.61687,105.84442,34.0,0,GMT,GMT

time,rain_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C)
2020-06-20,1.90,33.0,27.0,29.7
2020-06-21,0.10,34.8,27.5,30.9
2020-06-22,0.00,35.4,27.9,31.6
2020-06-23,0.30,35.8,27.6,31.2
2020-06-24,0.00,35.3,27.4,30.9
2020-06-25,4.30,30.5,27.4,28.7
2020-06-26,0.50,34.3,27.7,30.1
2020-06-27,4.90,35.2,27.9,31.0
2020-06-28,0.10,34.7,27.5,30.8
2020-06-29,2.80,32.8,27.0,29.8
2020-06-30,19.30,33.3,25.9,29.2
2020-07-01,24.50,32.0,25.4,28.3
2020-07-02,25.10,31.4,25.6,27.9
2020-07-03,13.30,30.4,25.8,28.0
2020-07-04,12.30,31.1,25.1,27.3
2020-07-05,5.60,31.6,27.0,28.8
2020-07-06,11.10,32.5,27.1,29.4
2020-07-07,5.10,34.1,27.5,30.0
2020-07-08,0.00,35.2,26.8,31.1
2020-07-09,0.00,35.8,27.4,31.5
2020-07-10,0.00,35.5,28.0,31.3
2020-07-11,0.70,32.7,27.6,30.1
2020-07-12,3.80,31.0,26.1,28.7
2020-07-13,10.40,33.2,25.0,28.9
2020-07-14,0.40,33.3,26.7,29.9
2020-07-15,0.80,35.0,27.2,30.7
2020-07-16,2.80,33.5,27.9,30.2
2020-07-17,0.40,35.8,28.0,31.4
2020-07-18,0.00,36.2,28.6,32.0
2020-07-19,5.90,35.1,26.0,31.3
2020-07-20,19.50,31.3,24.9,27.5
2020-07-21,12.40,32.3,25.8,28.0
2020-07-22,1.00,33.0,26.5,29.3
2020-07-23,1.00,33.6,26.5,29.7
2020-07-24,0.80,33.5,26.6,29.9
2020-07-25,0.50,34.7,27.0,30.5
2020-07-26,2.00,34.7,27.5,30.7
2020-07-27,27.00,29.8,24.8,27.8
2020-07-28,20.40,31.4,24.7,27.9
2020-07-29,4.30,32.1,25.0,28.2
2020-07-30,1.10,33.5,25.9,29.7
2020-07-31,1.60,33.5,26.7,29.9
2020-08-01,44.80,31.3,25.8,28.2
2020-08-02,30.90,30.5,25.4,27.4
2020-08-03,31.70,28.9,25.1,26.5
2020-08-04,23.30,27.8,25.3,26.3
2020-08-05,44.80,28.5,24.9,26.4
2020-08-06,40.00,28.6,25.0,26.0
2020-08-07,8.00,30.2,25.8,27.4
2020-08-08,1.80,32.0,26.2,28.4
2020-08-09,8.60,32.1,26.8,29.0
2020-08-10,6.50,33.4,25.4,29.1
2020-08-11,11.00,33.0,26.5,29.4
2020-08-12,16.30,31.9,25.6,28.7
2020-08-13,18.00,29.9,24.1,26.5
2020-08-14,13.70,28.0,24.4,25.9
2020-08-15,18.80,29.3,24.1,26.6
2020-08-16,25.30,29.5,23.8,26.1
2020-08-17,47.00,28.2,24.2,25.6
2020-08-18,36.20,28.2,24.0,25.5
2020-08-19,17.80,28.3,24.0,26.1
2020-08-20,25.40,29.7,24.4,26.6
2020-08-21,11.60,28.2,24.2,25.9
2020-08-22,8.00,30.8,24.7,27.1
2020-08-23,2.50,31.5,25.5,27.8
2020-08-24,0.60,33.0,25.2,28.6
2020-08-25,1.30,33.2,25.9,28.9
2020-08-26,0.00,34.2,25.5,29.7
2020-08-27,0.30,34.2,27.0,30.3
2020-08-28,1.20,32.8,26.6,29.4
2020-08-29,4.00,32.1,25.6,28.6
2020-08-30,6.70,32.6,25.7,28.9
2020-08-31,0.50,32.5,25.6,28.8
2020-09-01,0.00,34.2,25.6,29.8
2020-09-02,0.00,34.3,26.1,30.2
2020-09-03,12.20,33.7,25.4,29.3
2020-09-04,0.00,32.8,26.5,29.3
2020-09-05,12.70,32.8,25.5,29.4
2020-09-06,24.10,31.6,25.8,28.8
2020-09-07,21.10,28.0,24.9,26.3
2020-09-08,19.30,29.3,24.5,26.4
2020-09-09,13.60,29.1,24.9,26.3
